dt,aor_id,aor_name,emirate,sessions,first_visit_sessions,first_visit_devices
20260814,510040004,AI Falah,Abu Dhabi  Emirate,3199,44,33
20260814,500000590,Al Saadah,Abu Dhabi  Emirate,6719,100,56
20260814,500000603,"Al Shahama ",Abu Dhabi  Emirate,3768,69,45
20260814,500000611,Al Shamkhah,Abu Dhabi  Emirate,9255,152,101
20260814,500000610,Bani Yas,Abu Dhabi  Emirate,7572,134,75
20260814,510130002,Khalifa city,Abu Dhabi  Emirate,6802,83,52
20260814,500000609,Shakhbout City,Abu Dhabi  Emirate,3663,62,37
20260814,500000602,Yas Island,Abu Dhabi  Emirate,1789,97,48
20260814,500001022,Zakher,Abu Dhabi  Emirate,9006,143,82
20260814,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2779,57,35
20260814,500000443,Al Warqa,Dubai Emirate,5477,94,58
20260814,500000404,Arabian Ranches,Dubai Emirate,1178,27,16
20260814,500000362,Barsha South - Arjan,Dubai Emirate,2514,26,13
20260814,500000424,Business Bay 1,Dubai Emirate,4439,128,74
20260814,500000450,Business Bay 2,Dubai Emirate,4197,120,73
20260814,500000386,Creek Harbor,Dubai Emirate,1669,39,23
20260814,510260000,Damac Hills / Mudon,Dubai Emirate,1512,31,21
20260814,500000367,Downtown,Dubai Emirate,3050,98,60
20260814,500000444,Mirdif,Dubai Emirate,4215,61,37
20260814,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,3991,65,39
20260814,510040002,Naad Al Hamar,Dubai Emirate,2067,20,9
20260814,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,7891,132,87
20260814,500001044,Al Rehmania Suburb,Sharjah Emirate,1681,31,24
20260814,300000634,Muwaileh Commercial,Sharjah Emirate,6324,115,72
20260815,510040004,AI Falah,Abu Dhabi  Emirate,3127,52,29
20260815,500000590,Al Saadah,Abu Dhabi  Emirate,5982,106,65
20260815,500000603,"Al Shahama ",Abu Dhabi  Emirate,4088,61,49
20260815,500000611,Al Shamkhah,Abu Dhabi  Emirate,9123,147,88
20260815,500000610,Bani Yas,Abu Dhabi  Emirate,8091,159,102
20260815,510130002,Khalifa city,Abu Dhabi  Emirate,6686,112,64
20260815,500000609,Shakhbout City,Abu Dhabi  Emirate,3637,50,37
20260815,500000602,Yas Island,Abu Dhabi  Emirate,1683,101,55
20260815,500001022,Zakher,Abu Dhabi  Emirate,9146,129,78
20260815,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2728,43,29
20260815,500000443,Al Warqa,Dubai Emirate,5868,87,49
20260815,500000404,Arabian Ranches,Dubai Emirate,1278,25,14
20260815,500000362,Barsha South - Arjan,Dubai Emirate,2721,24,17
20260815,500000424,Business Bay 1,Dubai Emirate,2919,69,45
20260815,500000450,Business Bay 2,Dubai Emirate,3652,112,67
20260815,500000386,Creek Harbor,Dubai Emirate,1667,31,20
20260815,510260000,Damac Hills / Mudon,Dubai Emirate,1566,37,22
20260815,500000367,Downtown,Dubai Emirate,2799,154,64
20260815,500000444,Mirdif,Dubai Emirate,4410,58,32
20260815,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,3973,84,58
20260815,510040002,Naad Al Hamar,Dubai Emirate,1992,22,15
20260815,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,8045,128,76
20260815,500001044,Al Rehmania Suburb,Sharjah Emirate,1754,48,21
20260815,300000634,Muwaileh Commercial,Sharjah Emirate,7157,153,92
20260816,510040004,AI Falah,Abu Dhabi  Emirate,3233,44,27
20260816,500000590,Al Saadah,Abu Dhabi  Emirate,6134,88,56
20260816,500000603,"Al Shahama ",Abu Dhabi  Emirate,3969,73,50
20260816,500000611,Al Shamkhah,Abu Dhabi  Emirate,9537,161,104
20260816,500000610,Bani Yas,Abu Dhabi  Emirate,7965,167,100
20260816,510130002,Khalifa city,Abu Dhabi  Emirate,6931,88,60
20260816,500000609,Shakhbout City,Abu Dhabi  Emirate,3597,61,39
20260816,500000602,Yas Island,Abu Dhabi  Emirate,1464,118,66
20260816,500001022,Zakher,Abu Dhabi  Emirate,8985,140,86
20260816,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2825,52,31
20260816,500000443,Al Warqa,Dubai Emirate,5931,79,53
20260816,500000404,Arabian Ranches,Dubai Emirate,1089,30,16
20260816,500000362,Barsha South - Arjan,Dubai Emirate,2564,17,11
20260816,500000424,Business Bay 1,Dubai Emirate,2374,79,47
20260816,500000450,Business Bay 2,Dubai Emirate,2881,119,65
20260816,500000386,Creek Harbor,Dubai Emirate,1535,39,25
20260816,510260000,Damac Hills / Mudon,Dubai Emirate,1541,37,20
20260816,500000367,Downtown,Dubai Emirate,2423,92,50
20260816,500000444,Mirdif,Dubai Emirate,4589,37,30
20260816,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,4149,119,66
20260816,510040002,Naad Al Hamar,Dubai Emirate,2025,17,13
20260816,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,8322,162,97
20260816,500001044,Al Rehmania Suburb,Sharjah Emirate,1440,43,30
20260816,300000634,Muwaileh Commercial,Sharjah Emirate,7439,140,94
20260817,510040004,AI Falah,Abu Dhabi  Emirate,2968,53,27
20260817,500000590,Al Saadah,Abu Dhabi  Emirate,6816,108,64
20260817,500000603,"Al Shahama ",Abu Dhabi  Emirate,3400,61,42
20260817,500000611,Al Shamkhah,Abu Dhabi  Emirate,8736,142,96
20260817,500000610,Bani Yas,Abu Dhabi  Emirate,6850,164,106
20260817,510130002,Khalifa city,Abu Dhabi  Emirate,6319,90,60
20260817,500000609,Shakhbout City,Abu Dhabi  Emirate,3267,33,26
20260817,500000602,Yas Island,Abu Dhabi  Emirate,1638,84,47
20260817,500001022,Zakher,Abu Dhabi  Emirate,8259,125,68
20260817,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2509,45,31
20260817,500000443,Al Warqa,Dubai Emirate,4675,55,38
20260817,500000404,Arabian Ranches,Dubai Emirate,954,17,8
20260817,500000362,Barsha South - Arjan,Dubai Emirate,2102,26,18
20260817,500000424,Business Bay 1,Dubai Emirate,3785,55,39
20260817,500000450,Business Bay 2,Dubai Emirate,3433,84,52
20260817,500000386,Creek Harbor,Dubai Emirate,1462,42,25
20260817,510260000,Damac Hills / Mudon,Dubai Emirate,1277,30,15
20260817,500000367,Downtown,Dubai Emirate,2644,82,48
20260817,500000444,Mirdif,Dubai Emirate,3638,47,31
20260817,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,3978,56,39
20260817,510040002,Naad Al Hamar,Dubai Emirate,1771,15,9
20260817,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,7906,130,82
20260817,500001044,Al Rehmania Suburb,Sharjah Emirate,1581,34,22
20260817,300000634,Muwaileh Commercial,Sharjah Emirate,5133,78,52
20260818,510040004,AI Falah,Abu Dhabi  Emirate,2914,33,25
20260818,500000590,Al Saadah,Abu Dhabi  Emirate,6915,90,57
20260818,500000603,"Al Shahama ",Abu Dhabi  Emirate,3393,55,33
20260818,500000611,Al Shamkhah,Abu Dhabi  Emirate,8342,133,86
20260818,500000610,Bani Yas,Abu Dhabi  Emirate,6996,144,80
20260818,510130002,Khalifa city,Abu Dhabi  Emirate,6483,66,46
20260818,500000609,Shakhbout City,Abu Dhabi  Emirate,3420,73,45
20260818,500000602,Yas Island,Abu Dhabi  Emirate,1670,73,44
20260818,500001022,Zakher,Abu Dhabi  Emirate,8341,156,80
20260818,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2354,61,35
20260818,500000443,Al Warqa,Dubai Emirate,4714,50,31
20260818,500000404,Arabian Ranches,Dubai Emirate,1027,19,15
20260818,500000362,Barsha South - Arjan,Dubai Emirate,2329,21,10
20260818,500000424,Business Bay 1,Dubai Emirate,3907,96,51
20260818,500000450,Business Bay 2,Dubai Emirate,3645,108,60
20260818,500000386,Creek Harbor,Dubai Emirate,1636,12,12
20260818,510260000,Damac Hills / Mudon,Dubai Emirate,1333,29,14
20260818,500000367,Downtown,Dubai Emirate,2777,97,65
20260818,500000444,Mirdif,Dubai Emirate,3761,33,23
20260818,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,3768,46,32
20260818,510040002,Naad Al Hamar,Dubai Emirate,1857,20,15
20260818,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,7875,131,85
20260818,500001044,Al Rehmania Suburb,Sharjah Emirate,1623,38,26
20260818,300000634,Muwaileh Commercial,Sharjah Emirate,5510,91,53
20260819,510040004,AI Falah,Abu Dhabi  Emirate,3061,67,37
20260819,500000590,Al Saadah,Abu Dhabi  Emirate,7201,92,60
20260819,500000603,"Al Shahama ",Abu Dhabi  Emirate,3451,68,49
20260819,500000611,Al Shamkhah,Abu Dhabi  Emirate,8467,130,84
20260819,500000610,Bani Yas,Abu Dhabi  Emirate,6951,122,80
20260819,510130002,Khalifa city,Abu Dhabi  Emirate,6799,88,52
20260819,500000609,Shakhbout City,Abu Dhabi  Emirate,3447,53,31
20260819,500000602,Yas Island,Abu Dhabi  Emirate,1642,80,37
20260819,500001022,Zakher,Abu Dhabi  Emirate,8324,71,45
20260819,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,2377,45,28
20260819,500000443,Al Warqa,Dubai Emirate,5010,59,37
20260819,500000404,Arabian Ranches,Dubai Emirate,1000,21,13
20260819,500000362,Barsha South - Arjan,Dubai Emirate,2310,18,13
