dt,aor_id,aor_name,emirate,s1_orders,a1_orders,s1_users,a1_users,total_orders,total_users
20260814,510040004,AI Falah,Abu Dhabi  Emirate,463,83,1125,190,710,1786
20260814,500000590,Al Saadah,Abu Dhabi  Emirate,401,456,815,951,1633,3637
20260814,500000603,"Al Shahama ",Abu Dhabi  Emirate,354,105,931,323,705,2104
20260814,500000611,Al Shamkhah,Abu Dhabi  Emirate,1159,374,2589,930,2063,5087
20260814,500000610,Bani Yas,Abu Dhabi  Emirate,710,239,1714,744,1466,4213
20260814,510130002,Khalifa city,Abu Dhabi  Emirate,594,404,1142,821,1743,3655
20260814,500000609,Shakhbout City,Abu Dhabi  Emirate,344,173,791,410,789,1966
20260814,500000602,Yas Island,Abu Dhabi  Emirate,79,66,203,158,351,885
20260814,500001022,Zakher,Abu Dhabi  Emirate,1475,177,3161,454,2128,4830
20260814,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,378,74,863,176,630,1557
20260814,500000443,Al Warqa,Dubai Emirate,465,298,1035,583,1381,3067
20260814,500000404,Arabian Ranches,Dubai Emirate,19,92,44,153,304,653
20260814,500000362,Barsha South - Arjan,Dubai Emirate,55,279,110,474,736,1364
20260814,500000424,Business Bay 1,Dubai Emirate,70,166,148,310,1075,2206
20260814,500000450,Business Bay 2,Dubai Emirate,99,215,178,374,1132,2132
20260814,500000386,Creek Harbor,Dubai Emirate,36,70,72,152,358,832
20260814,510260000,Damac Hills / Mudon,Dubai Emirate,29,145,68,233,425,803
20260814,500000367,Downtown,Dubai Emirate,59,142,142,302,687,1510
20260814,500000444,Mirdif,Dubai Emirate,188,356,404,679,1075,2300
20260814,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,384,164,814,356,910,2187
20260814,510040002,Naad Al Hamar,Dubai Emirate,180,109,356,224,498,1145
20260814,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,811,399,1753,873,1887,4324
20260814,500001044,Al Rehmania Suburb,Sharjah Emirate,187,34,505,105,297,932
20260814,300000634,Muwaileh Commercial,Sharjah Emirate,128,177,327,460,1231,3718
20260815,510040004,AI Falah,Abu Dhabi  Emirate,485,77,1103,191,725,1732
20260815,500000590,Al Saadah,Abu Dhabi  Emirate,333,403,630,839,1462,3217
20260815,500000603,"Al Shahama ",Abu Dhabi  Emirate,391,98,976,309,762,2270
20260815,500000611,Al Shamkhah,Abu Dhabi  Emirate,1073,376,2489,985,2017,4998
20260815,500000610,Bani Yas,Abu Dhabi  Emirate,744,271,1757,753,1570,4497
20260815,510130002,Khalifa city,Abu Dhabi  Emirate,555,420,1074,805,1767,3602
20260815,500000609,Shakhbout City,Abu Dhabi  Emirate,374,187,796,417,834,1927
20260815,500000602,Yas Island,Abu Dhabi  Emirate,78,50,186,135,337,853
20260815,500001022,Zakher,Abu Dhabi  Emirate,1444,177,3283,468,2094,4998
20260815,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,387,70,833,183,630,1565
20260815,500000443,Al Warqa,Dubai Emirate,495,274,1001,614,1418,3238
20260815,500000404,Arabian Ranches,Dubai Emirate,18,96,39,177,314,669
20260815,500000362,Barsha South - Arjan,Dubai Emirate,63,290,95,482,810,1461
20260815,500000424,Business Bay 1,Dubai Emirate,42,111,90,209,738,1518
20260815,500000450,Business Bay 2,Dubai Emirate,81,202,164,358,962,1813
20260815,500000386,Creek Harbor,Dubai Emirate,45,49,94,158,365,851
20260815,510260000,Damac Hills / Mudon,Dubai Emirate,27,146,57,262,439,852
20260815,500000367,Downtown,Dubai Emirate,39,127,131,282,575,1373
20260815,500000444,Mirdif,Dubai Emirate,218,357,440,716,1156,2496
20260815,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,361,149,817,321,828,2176
20260815,510040002,Naad Al Hamar,Dubai Emirate,171,107,343,241,509,1155
20260815,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,810,400,1789,876,1946,4419
20260815,500001044,Al Rehmania Suburb,Sharjah Emirate,195,42,495,110,329,959
20260815,300000634,Muwaileh Commercial,Sharjah Emirate,131,189,336,481,1318,4188
20260816,510040004,AI Falah,Abu Dhabi  Emirate,477,85,1143,197,721,1800
20260816,500000590,Al Saadah,Abu Dhabi  Emirate,448,446,764,867,1571,3376
20260816,500000603,"Al Shahama ",Abu Dhabi  Emirate,392,122,950,318,793,2148
20260816,500000611,Al Shamkhah,Abu Dhabi  Emirate,1125,368,2742,930,2032,5243
20260816,500000610,Bani Yas,Abu Dhabi  Emirate,710,266,1763,774,1550,4463
20260816,510130002,Khalifa city,Abu Dhabi  Emirate,629,429,1184,848,1862,3811
20260816,500000609,Shakhbout City,Abu Dhabi  Emirate,369,209,791,437,858,1936
20260816,500000602,Yas Island,Abu Dhabi  Emirate,72,47,189,114,285,754
20260816,500001022,Zakher,Abu Dhabi  Emirate,1495,170,3299,475,2124,5003
20260816,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,412,61,875,192,631,1576
20260816,500000443,Al Warqa,Dubai Emirate,498,315,1021,644,1499,3357
20260816,500000404,Arabian Ranches,Dubai Emirate,11,114,33,178,281,604
20260816,500000362,Barsha South - Arjan,Dubai Emirate,71,312,110,470,824,1432
20260816,500000424,Business Bay 1,Dubai Emirate,49,88,93,156,652,1168
20260816,500000450,Business Bay 2,Dubai Emirate,53,173,118,292,805,1445
20260816,500000386,Creek Harbor,Dubai Emirate,38,64,74,142,332,750
20260816,510260000,Damac Hills / Mudon,Dubai Emirate,31,119,60,219,430,811
20260816,500000367,Downtown,Dubai Emirate,34,113,124,252,498,1208
20260816,500000444,Mirdif,Dubai Emirate,235,351,439,743,1187,2543
20260816,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,374,146,800,357,884,2298
20260816,510040002,Naad Al Hamar,Dubai Emirate,174,103,339,220,511,1120
20260816,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,839,425,1868,950,1985,4574
20260816,500001044,Al Rehmania Suburb,Sharjah Emirate,154,25,435,103,232,817
