dt,emirate,total_dau,total_completed_orders,total_new_users
20260814,Abu Dhabi  Emirate,95689,39906,1343
20260814,Dubai Emirate,158187,68577,2440
20260814,Northern Emirates,30709,10677,529
20260814,Sharjah Emirate,40724,14722,592
20260814,Unknown,14153,1407,84
20260815,Abu Dhabi  Emirate,96269,39336,1281
20260815,Dubai Emirate,163286,69011,2686
20260815,Northern Emirates,31486,10628,549
20260815,Sharjah Emirate,43746,15623,667
20260815,Unknown,14316,1333,99
20260816,Abu Dhabi  Emirate,95468,39835,1336
20260816,Dubai Emirate,160492,68675,2816
20260816,Northern Emirates,31619,10762,556
20260816,Sharjah Emirate,44384,15815,682
20260816,Unknown,13979,1226,70
20260817,Abu Dhabi  Emirate,87490,34806,1079
20260817,Dubai Emirate,138613,57066,1903
20260817,Northern Emirates,26854,8670,422
20260817,Sharjah Emirate,35074,11954,454
20260817,Unknown,14160,1245,56
20260818,Abu Dhabi  Emirate,89304,35625,1074
20260818,Dubai Emirate,143579,59347,1933
20260818,Northern Emirates,27669,8812,373
20260818,Sharjah Emirate,36937,12584,459
20260818,Unknown,14112,1306,87
20260819,Abu Dhabi  Emirate,89731,36977,1087
20260819,Dubai Emirate,143615,60877,1971
20260819,Northern Emirates,27394,9046,426
20260819,Sharjah Emirate,36480,12725,439
20260819,Unknown,13377,1323,80
20260820,Abu Dhabi  Emirate,91120,38034,1081
20260820,Dubai Emirate,147305,62968,1951
20260820,Northern Emirates,28001,9569,442
20260820,Sharjah Emirate,37828,13738,473
20260820,Unknown,13286,1312,69
